"a lot" "много, множество, масса"
bond связь
pan кастрюля
somewhat "в некотором роде"
shave брить
grocery продуктовый
compete конкурировать
literally буквально
plug штепсель
"yell (йел)" вопить
subsequently впоследствии
ownership владение
plot сюжет
poster плакат
satisfied доволен
"they pretend to be strong" "они притворяются сильными"
"now that" "теперь, когда"
"how do they know" "откуда они знают"
"here you are" "вот, пожалуйста"
"here we are" "а вот и мы! Вот то, что нам нужно! Вот пожалуйста"
"here we go" "вот так"
"here it is, (here he is)" "вот и оно, вот оно, (вот и он)"
"be better off (they are better off go away)" "будет лучше (им лучше уйти)"
"once again" снова
"for uniformity" "для единообразия"
overkill перебор
"compared to" "по сравнению с"
stuck застрявший
"we are stuck" "мы застряли"
"there is never" "никогда не бывает"
"almost there!" "почти готово!"
"halfway through" "на полпути"
inheritance "наследие, наследство"
"the more, the better" "чем больше, чем лучше"
aggregate совокупность
"in the long run" "в конечном итоге"
"without giving much thought" "не задумываясь"
harm "вред, вредить"
"as many as … (3 dishes)" "целых … (три блюда)"
virtually "практически, фактически"
"but again" "но опять же"
whatnot "еще много чего"
incapable неспособный
"gone are the days of" "прошли те времена"
"there's more to life" "в жизни есть нечто большее"
"and away we go" "и понеслось"
sustainable стабильный
retain сохранять
"the way it is" "как оно есть"
"to the full, to the fullest" "в полной мере"
debt долг
leaking утечка
"as long as" "пока, при условии, так долго как"
time-tested "проверенная временем"
"from this point on" "с этого момента"
henceforth "впредь, далее"
omit пропускать
"concise (консайз)" "краткий, лаконичный"
"so far so good" "все идет нормально, пока все хорошо"
malformed "уродливый, плохо сформированный"
excuse "извинение, оправдание, прелог"
irreplaceable незаменимый
"more likely to (more likely to be)" "с большей вероятностью (с большей вероятностью будет)"
controversial спорный
explode взрываться
"keep up" "продолжать, поддерживать"
"time to spare" "свободное время"
plausibly правдоподобно
"slip back" отступать
"slip on" надевать
reveal "раскрывать, открывать, обнаруживать, разоблачать"
voluntary добровольный
undertake "предпринимать, предпринять, браться"
rhyme рифма
stairway лестница
"in bygone days" "в былые дни"
needless ненужный
exertion напряжение
rumour слух
"as we age" "с возрастом"
numerous многочисленные
uncommon "необычный, необыкновенный"
coined выдуманный
suspend приостанавливать
"it is desired" желательно
eternity вечность
primarily "прежде всего, в первую очередь"
"in the same spirit" "в том же духе"
"leave alone" "оставить в покое"
"come across as" "выглядеть как"
"meant to be" "суждено быть"
"as opposed to" "в отличие от"
"taken to an extreme" "в крайнем случае"
sorta "вроде как"
"you need to approach it as ..." "тебе нужно подойти к этому как..."
"to have bad luck (i have bad luck)" "не везти, иметь невезение"
"to get fit" "приходить в форму"
lovely "чудесный, очаровательный"
"hardly ever" "практически никогда, очень редко"
"matter of time" "вопрос времени"
"you won’t have hard time (doing something)" "для вас не составит труда (сделать что-то)"
downward ухудшающийся
"faith (faith in the future)" "вера (вера в будущее)"
confess признаваться
"to board the plane" "сесть в самолет"
"along the way" "по пути"
mentally умственно
"on his behalf" "от его имени"
"do you mind?" "Вы не возражаете?"
predictable предсказуемый
restrict ограничивать
actionable действенный
annual ежегодный
specifically конкретно
distinctly отчётливо
round-bellied пузатый
sleigh "сани, санки"
propagate "распространять, размножать"
spread распространять
globe "земной шар, глобус"
inventor изобретатель
tissue ткань
fellow "парень, человек, товарищ"
enforce принуждать
simultaneous одновременно
"obliged (облайжд)" обязан
vital "жизненно необходимый"
advisable желательно
"i'd love" "я бы хотел, я бы с удовольствием"
"is not it?" "не так ли?"
sideway боком
former "бывший, прежний"
crucial ключевой
"on the decline" "на спаде"
minor незначительный
unstable неустойчивый
decline "спад, снижение, уменьшаться"
"back off" отвали
inevitable неизбежный
"for evermore" навсегда
outskirts окраина
"once a year" "раз в год"
unfortunate "несчастный, неудачный"
appointed назначенный
throng толпа
steed конь
venture риск
forth вперед
abundance "избыток, изобилие"
weep плакать
slope "склон, уклон"
summit вершина
inscription надпись
wipe вытирать
ponder "обдумывать, размышлять"
rusted ржавый
rust ржаветь
rush "порыв, сильное желание"
subconscious подсознание
trial "пробный, испытательный, испытание"
repetition повторение
"facial expression" "выражение лица"
"water down" разбавлять
envy завидовать
contrary вопреки
wage "заработная плата"
failsafe отказоустойчивый
everlast вечный
conformity соответствие
adhere придерживаться
malfunction неисправность
reinvent "изобретать заново"
"before ... existed" "до появления ..."
strive "стремиться, бороться, прилагать усилия"
warehouse склад
laundries прачечная
reverse "противоположное, обратное"
likewise "так же"
overlook "упускать из виду, игнорировать"
gist суть
excessively чрезмерно
"it's not a matter of" "дело не в том, что ..."
conventional "общепринятый, традиционный"
bark лай
rate "показатель, тариф, норма"
implicate "вовлекать, впутывать"
slump "спад, оползень, резкое падение, резко падать"
disrupt "нарушать, срывать"
"it's the way things are" "так обстоят дела"
literacy грамотность
outbreak вспышка
"make up mind" "принять решение"
"be gone for good" "уйти навсегда (потерять)"
mud грязь
paddle "весло, грести"
enmity враждебность
contribute "способствовать, содействовать"
thread нить
boundary "граница, черта"
emerge "появляться, возникать"
passion страсть
"get to know" узнать
"be passionate about" "быть увлеченным, пылким"
"tie down" привязать
lung "лёгкое (орган)"
inflate надувать
deflate сдувать
sorrow печаль
pending "в ожидании"
"waiting list" "очередь, лист ожидания"
"get down" спускаться
"come down" "спускаться, рушиться"
"pick up" "забирать, подбирать"
"take out" "вынимать, доставать(из сумки), вывозить"
upright вертикально
timeously своевременно
thither туда
thinly тонко
therein там
greedy жадный
regular обычный
threaten угрожать
fallout "выпадать, осадки"
past мимо
"be broken down into (are broken down into several components)" "разбит на (разбит на несколько компонентов)"
deprive лишать
chew жевать
counterintuitive "противоречащий здравому смыслу"
frustrate расстраивать
"there's no point" "нет никакого смысла"
conscience совесть
"in good conscience" "с чистой совестью"
"we are pleased to" "мы рады ..."
"across the road" "через дорогу"
perceive воспринимать
chase гнаться
noveltie новинка
"to sympathize with" сочувствовать
enhance усиливать
transparent прозрачный
preparation подготовка
"There comes (there comes a time)" "приходит (приходит время)"
"put down" положить
"to have something to fall back on" "иметь на что опереться"
"be in debt" "быть в долгу"
confuse путать
explicit явный
implicit скрытый
strip полоса
"at the bottom" внизу
hesitate стесняться
halt "останавливаться, остановка"
alleviate облегчить
inflammation воспаление
"in favor of (banning)" "в пользу"
sluggish медлительный
aversion отвращение
unleash "дать волю, развязать"
pour "наливать, насыпать, сыпать"
pillar "столб, опора"
confront противостоять
innate врожденный
"be psyched up" "быть взволнованным"
gossip сплетни
routine распорядок
"little by little" понемногу
"it goes way beyond that" "это выходит за рамки этого"
meaningful осмысленный
prolonged продолжительный
reasoning рассуждение
associated "связан, связанный"
sweep подметать
entail "влечёт за собой"
"come to mind" "приходить на ум"
ever-changing "постоянно меняющийся"
severe "тяжелый, суровый"
"something is lacking" "чего-то не хватает"
herd стадо
doable "выполнимо, выполнимый"
"has gone through many changes" "претерпел множество изменений"
plumber сантехник
unforeseen непредвиденный
"put off" откладывать
"chances are" "скорее всего"
obstacle препятствие
"aspect ratio" "соотношение сторон"
"ratio (рэйшио)" "соотношение, коэффициент, пропорция"
"right away" немедленно
"in high demand" "пользуется большим спросом"
overdo переусердствовать
"deceive, cheat" обманывать
infer "делать вывод"
glove перчатка
"the first time around" "в первый раз"
"conquer (конкэр)" "завоевывать, покорять"
"i'm not mad at you" "я не сержусь на тебя"
exhale "выдох, выдыхать"
"he is out back" "он снаружи"
"get off me" "отстань от меня"
"he's not here and he never has been" "он не здесь и никогда здесь не был"
"run wild" дичать
"buzz cut" "короткая стрижка"
"pull over" притормози
"drop off (drop)" высадить
sob рыдать
sober трезвый
envelope конверт
"in low spirits" "в плохом настроении"
"in high spirits" "в приподнятом настроении"
underwear "нижнее белье"
complex сложный
interfere вмешиваться
mental "психически, псих"
indecision нерешительность
"not a bit" ничуть
"i doubt it" "я сомневаюсь"
"exactly so" "именно так"
mandatory обязательный
"mess up" портить
"take your pick" выбирай
thoroughly тщательно
misuse "не правильно использовать,  злоупотреблять "
infancy младенчество
slippery "скользко, скользкий"
slippy скользкий
preferably предпочтительно
"for sure" наверняка
"it is not profitable" "не выгодно"
"i managed" "мне удалось"
fried жареный
slice "кусок, кусочек"
outdated устаревший
forgery "подлог, фальсификация"
highlights "основные моменты"
survey опрос
eliminate "устранять, уничтожать, ликвидировать"
vault "сейф, погреб"
"from scratch" "с нуля"
underlie "лежать в основе"
tedious "скучно, утомительно"
effortlessly легко
"is wired into" "подключен к"
consumer потребитель
provider поставщик
"be left" "быть оставленным, остаться"
distinctive "отличительный, характерный"
"went viral, went ..." "стал вирусным"
tend "иметь склонность, иметь тенденцию"
perseverance "упорство, настойчивость"
trade-off компромисс
"went out" вышел
paycheck зарплата
"more likely" "скорее всего"
rigid жёсткий
rigidity жесткость
"dial up" "набирать номер"
"in charge" ответственный
feather перо
fur "шерсть, мех"
"dripping wet" "насквозь мокрый"
shiver "дрожь, дрожать"
disposable одноразовый
basement "подвал, цокольный этаж"
"how interesting" "как интересно"
grasp "понять, осознать, понимание"
snap "щелчок, моментальный снимок"
"up here" здесь
"how long it takes to" "как долго, сколько времени нужно чтобы"
"what is there to say" "что тут сказать"
"robe, bathrobe" халат
"of the good ones" "из хороших"
"for later" "на потом"
whoever "тот, кто"
"opinions differ" "мнения расходятся"
memorable незабываемый
standpoint "точка зрения"
"most rewarding" "самая полезная, самая стоящая"
"all things considered" "учитывая все обстоятельства"
"even so" "не смотря на это"
"to make up your mind" "принять решение"
"by all means" "любой ценой, любым способом"
conduct "вести, управлять, поведение"
abide "соблюдать, выполнять, придерживаться"
humble скромный,смиренный
versatile "универсальный, гибкий, многосторонний"
roasted жареный
edible съедобный
"take for granted" "принимать как должное"
engrossed поглощенный
inclination склонность
"fails us" "подводит нас"
thrive "процветать, преуспевать"
upbringing воспитание
peers сверстники
"i stand corrected" "я исправлюсь"
"could you reach out" "не могли бы вы связаться"
solace утешение
"inferior feeling" "чувство неполноценности"
frugality бережливость
"no strings attached" "без всяких условий, безвозмездно"
spotted замечен
"be advised" "рекомендуется "
sparkless безупречный
embark "отправляться в путь, начинать"
upturn переворачивать
broaden расширять
"take over" снимать
"what is the use of ..." "какая польза от ..."
"show off" "хвастаться, выпендриваться"
presently "сейчас,в настоящее время"
earnestly "искренне, серьезно"
doorway "дверной проем"
"you see" "видите ли"
scam мошенничество
dew роса
hail град
ladder стремянка
"dealing with emergencies" "работа с чрезвычайными ситуациями"
"pile up" накапливать
susceptible "восприимчивый, чувствительный"
affiliate "партнёр, присоединять"
"put another way" перефразируй
preceding "предшествующий, предыдущий"
"other than that" "кроме того"
extinct "вымерший, угасший"
majestic величественный
"as a whole" "целиком, вцелом"
"were hurt severely" "серьезно пострадали"
roughly "грубо, приблизительно"
rough "грубый, приблизительный"
comparable "сопоставимо, сравнимо"
exceed "превосходить, превышать"
"is believed" считается
"from its very beginnings" "с самого начала"
underperforming неэффективный
"in particular" "в особенности"
largely "во многом, в значительной степени"
goodness доброта
"be keen on" увлекаться
"to iron" гладить
"window sill" подоконник
spacious просторный
roomy просторный
"wash basin" раковина
"electric socket" розетка
"power point" розетка
drawer ящик
"railway carriage" вагон
alas увы
allude "намекать, указывать"
axe топор
"back down" "отступать, идти на попятную, отказаться"
backpack рюкзак
"give birth to" "рожать "
bizarre "странный, причудливый"
budge сдвинуть
caviar икра
likeable приятный
allocate "распределять ресурсы"
bonfire костёр
"in the open" "в открытую, открыто"
behold "созерцать, видеть"
collide сталкиваться
"come with" прилагаться
"bite off" откусить
compassion сострадание
buzzword "модное словечко"
traction тяга
envision "представить себе, предполагать"
"pipe dream" "несбыточная мечта"
ballooning раздувание
outpace "опережать, идти вперед"
compelling "убедительный, неотразимый"
obsolete устаревший
"in a matter of a minutes" "в течение нескольких минут"
govern "управлять, править, руководить"
laborious "трудоемкий, трудный, утомительный"
compliance согласие
applicable "применимый, подходящий"
on-premises локально
timelines сроки
timeliness своевременность
proximity "близость (расположение)"
"vendor lock-in" "привязка к поставщику"
negligible незначительный
reliance "доверие, уверенность"
"connection goes down" "соединение пропадает"
congestion "перегруженность, скопление, затор, пробка"
bandwidth "пропускная способность"
prevalent "распростроненный, преобладающий"
estimate "оценивать, оценка, смета, калькуляция, прикидывать"
prerequisite предпосылка
fraud "мошенничество, мошенник, подделка"
makeover преображение
counterfeit поддельный
disparate "несопастовимый, несоизмеримый"
immune "иммунитет, невосприимчивый"
"key takeaways" "ключевые выводы"
underpinned подкрепленный
intermediary "посредник, промежуточный"
facilitate "способствовать, содействовать"
"went into effect" "вступил в силу"
reverse "поворачивать вспять"
incentive стимул
infamous "печально известный"
"as needed" "по мере необходимости"
clutter беспорядок
cluttered загроможденный
vibe атмосфера
understandably "по вполне понятным причинам"
"meet need" "удовлетворить потребность"
"favorable impression" "благоприятное впечатление"
dramatically резко
empathetic чуткий
empathy сочувствие
"to second-guess myself" "сомневаться в себе"
insecurity неуверенность
ever-evolving "постоянно развивающийся"
grudge обида
comprehensive "всесторонний, исчерпывающий, обширный"
"make sure that (make sure to mention them)" "убедись в том, что ... (обязательно ...)"
beneficial "выгодный, полезный"
"catch off guard" "застать врасплох"
upsert вставлять
